"","ActivityStartDate","CharacteristicName","ResultMeasureValue","ResultMeasure.MeasureUnitCode"
"2123",1992,"Phosphate-phosphorus","0.119","mg/l"
"2127",1994,"Phosphate-phosphorus","0.382","mg/l"
"2130",1992,"Phosphate-phosphorus","0.123","mg/l"
"2138",1991,"Phosphate-phosphorus","0.024","mg/l"
"2149",1995,"Phosphate-phosphorus","0.106","mg/l"
"2160",1994,"Phosphate-phosphorus","0.180","mg/l"
"2165",1994,"Phosphate-phosphorus","0.173","mg/l"
"2168",2012,"Phosphate-phosphorus","0.268","mg/l"
"2181",2012,"Phosphate-phosphorus","0.067","mg/l"
"2188",2012,"Phosphate-phosphorus","0.048","mg/l"
"2192",2013,"Phosphate-phosphorus","0.0453","mg/l"
"2200",2013,"Phosphate-phosphorus","0.0215","mg/l"
"2205",2013,"Phosphate-phosphorus","0.0717","mg/l"
"2218",2014,"Phosphate-phosphorus","0.0254","mg/l"
"2246",2015,"Phosphate-phosphorus","0.0576","mg/l"
"2281",2016,"Phosphate-phosphorus","0.0391","mg/l"
"2292",2019,"Phosphate-phosphorus","0.554","mg/l"
"2294",2018,"Phosphate-phosphorus","0.0349","mg/l"
"2296",2018,"Phosphate-phosphorus","0.132","mg/l"
"2299",2018,"Phosphate-phosphorus","0.130","mg/l"
"2302",1998,"Phosphate-phosphorus","0.091","mg/l"
"2311",2001,"Phosphate-phosphorus","0.446","mg/l"
"2314",2005,"Phosphate-phosphorus","0.162","mg/l"
"2324",1999,"Phosphate-phosphorus","0.097","mg/l"
"2329",2006,"Phosphate-phosphorus","0.130","mg/l"
"2334",2003,"Phosphate-phosphorus","0.030","mg/l"
"2339",2006,"Phosphate-phosphorus","0.147","mg/l"
"2345",1997,"Phosphate-phosphorus","0.149","mg/l"
"2353",2004,"Phosphate-phosphorus","0.091","mg/l"
"2356",2000,"Phosphate-phosphorus","0.108","mg/l"
"2374",2003,"Phosphate-phosphorus","0.020","mg/l"
"2394",2011,"Phosphate-phosphorus","0.021","mg/l"
"2435",2008,"Phosphate-phosphorus","0.165","mg/l"
"2450",2008,"Phosphate-phosphorus","0.029","mg/l"
"2454",2010,"Phosphate-phosphorus","0.120","mg/l"
"2457",2010,"Phosphate-phosphorus","0.274","mg/l"
"2462",2010,"Phosphate-phosphorus","0.068","mg/l"
"2465",2009,"Phosphate-phosphorus","0.200","mg/l"
"2469",2009,"Phosphate-phosphorus","0.417","mg/l"
"2474",1988,"Phosphate-phosphorus","0.22","mg/l"
"2487",2012,"Phosphate-phosphorus","0.053","mg/l"
"2493",2014,"Phosphate-phosphorus","0.276","mg/l"
"2503",1993,"Phosphate-phosphorus","0.209","mg/l"
"2507",1994,"Phosphate-phosphorus","0.113","mg/l"
"2518",1994,"Phosphate-phosphorus","0.086","mg/l"
"2533",1995,"Phosphate-phosphorus","0.030","mg/l"
"2537",1995,"Phosphate-phosphorus","0.460","mg/l"
"2553",2011,"Phosphate-phosphorus","0.539","mg/l"
"2556",2012,"Phosphate-phosphorus","0.036","mg/l"
"2562",2012,"Phosphate-phosphorus","0.020","mg/l"
"2617",2015,"Phosphate-phosphorus","0.0287","mg/l"
"2638",2015,"Phosphate-phosphorus","0.0464","mg/l"
"2639",2016,"Phosphate-phosphorus","0.0244","mg/l"
"2693",2018,"Phosphate-phosphorus","0.146","mg/l"
"2697",2017,"Phosphate-phosphorus","0.0855","mg/l"
"2704",2019,"Phosphate-phosphorus","0.164","mg/l"
"2733",2001,"Phosphate-phosphorus","0.064","mg/l"
"2740",2000,"Phosphate-phosphorus","0.110","mg/l"
"2759",2004,"Phosphate-phosphorus","0.113","mg/l"
"2772",2005,"Phosphate-phosphorus","0.120","mg/l"
"2773",2005,"Phosphate-phosphorus","0.079","mg/l"
"2793",2001,"Phosphate-phosphorus","0.082","mg/l"
"2795",2002,"Phosphate-phosphorus","0.369","mg/l"
"2796",1998,"Phosphate-phosphorus","0.337","mg/l"
"2827",2014,"Phosphate-phosphorus","0.292","mg/l"
"2847",2007,"Phosphate-phosphorus","0.026","mg/l"
"2855",2008,"Phosphate-phosphorus","0.052","mg/l"
"2862",1989,"Phosphate-phosphorus","0.059","mg/l"
"2866",1988,"Phosphate-phosphorus","0.014","mg/l"
"2868",1988,"Phosphate-phosphorus","0.077","mg/l"
"2874",1990,"Phosphate-phosphorus","0.115","mg/l"
"2878",1990,"Phosphate-phosphorus","0.114","mg/l"
"2887",1990,"Phosphate-phosphorus","0.066","mg/l"
"2902",1993,"Phosphate-phosphorus","0.16","mg/l"
"2910",1993,"Phosphate-phosphorus","0.110","mg/l"
"2915",1994,"Phosphate-phosphorus","0.157","mg/l"
"2921",2010,"Phosphate-phosphorus","0.428","mg/l"
"2925",2012,"Phosphate-phosphorus","0.042","mg/l"
"2929",2012,"Phosphate-phosphorus","0.018","mg/l"
"2933",2013,"Phosphate-phosphorus","0.136","mg/l"
"2937",2013,"Phosphate-phosphorus","0.190","mg/l"
"2945",2014,"Phosphate-phosphorus","0.104","mg/l"
"2949",2015,"Phosphate-phosphorus","0.0428","mg/l"
"2972",2015,"Phosphate-phosphorus","0.0754","mg/l"
"2978",2016,"Phosphate-phosphorus","0.0492","mg/l"
"2981",2014,"Phosphate-phosphorus","0.0596","mg/l"
"2982",2014,"Phosphate-phosphorus","0.0592","mg/l"
"3019",2017,"Phosphate-phosphorus","0.101","mg/l"
"3031",2018,"Phosphate-phosphorus","0.127","mg/l"
"3032",2019,"Phosphate-phosphorus","0.0974","mg/l"
"3035",2018,"Phosphate-phosphorus","0.0300","mg/l"
"3039",2018,"Phosphate-phosphorus","0.0241","mg/l"
"3052",1998,"Phosphate-phosphorus","0.041","mg/l"
"3056",2002,"Phosphate-phosphorus","0.156","mg/l"
"3058",2001,"Phosphate-phosphorus","0.027","mg/l"
"3064",2000,"Phosphate-phosphorus","0.113","mg/l"
"3069",2002,"Phosphate-phosphorus","0.103","mg/l"
"3070",2007,"Phosphate-phosphorus","0.129","mg/l"
"3081",1999,"Phosphate-phosphorus","0.109","mg/l"
"3087",2003,"Phosphate-phosphorus","0.090","mg/l"
"3095",2000,"Phosphate-phosphorus","0.111","mg/l"
"3108",1998,"Phosphate-phosphorus","0.086","mg/l"
"3115",2000,"Phosphate-phosphorus","0.124","mg/l"
"3117",2000,"Phosphate-phosphorus","0.092","mg/l"
"3124",1996,"Phosphate-phosphorus","0.188","mg/l"
"3128",1999,"Phosphate-phosphorus","0.040","mg/l"
"3130",2000,"Phosphate-phosphorus","0.117","mg/l"
"3145",2007,"Phosphate-phosphorus","0.122","mg/l"
"3178",2011,"Phosphate-phosphorus","0.020","mg/l"
"3187",2008,"Phosphate-phosphorus","0.050","mg/l"
"3192",2010,"Phosphate-phosphorus","0.125","mg/l"
"3194",2009,"Phosphate-phosphorus","0.409","mg/l"
"3199",1990,"Phosphate-phosphorus","0.079","mg/l"
"3201",1989,"Phosphate-phosphorus","0.39","mg/l"
"3209",1990,"Phosphate-phosphorus","0.22","mg/l"
"3225",1991,"Phosphate-phosphorus","0.114","mg/l"
"3235",1993,"Phosphate-phosphorus","0.117","mg/l"
"3239",1995,"Phosphate-phosphorus","0.194","mg/l"
"3243",1994,"Phosphate-phosphorus","0.154","mg/l"
"3253",2013,"Phosphate-phosphorus","0.313","mg/l"
"3255",2013,"Phosphate-phosphorus","0.207","mg/l"
"3260",2013,"Phosphate-phosphorus","0.144","mg/l"
"3318",2016,"Phosphate-phosphorus","0.0649","mg/l"
"3341",2014,"Phosphate-phosphorus","0.0648","mg/l"
"3342",2017,"Phosphate-phosphorus","0.0663","mg/l"
"3346",2017,"Phosphate-phosphorus","0.0292","mg/l"
"3355",2019,"Phosphate-phosphorus","0.163","mg/l"
"3385",2005,"Phosphate-phosphorus","0.037","mg/l"
"3390",2004,"Phosphate-phosphorus","0.079","mg/l"
"3393",2001,"Phosphate-phosphorus","0.110","mg/l"
"3396",2005,"Phosphate-phosphorus","0.146","mg/l"
"3400",2004,"Phosphate-phosphorus","0.070","mg/l"
"3403",2003,"Phosphate-phosphorus","0.036","mg/l"
"3416",1999,"Phosphate-phosphorus","0.180","mg/l"
"3417",2001,"Phosphate-phosphorus","0.099","mg/l"
"3421",2000,"Phosphate-phosphorus","0.079","mg/l"
"3444",1997,"Phosphate-phosphorus","0.049","mg/l"
"3448",2000,"Phosphate-phosphorus","0.098","mg/l"
"3450",1996,"Phosphate-phosphorus","0.106","mg/l"
"3460",2011,"Phosphate-phosphorus","0.099","mg/l"
"3464",2007,"Phosphate-phosphorus","0.026","mg/l"
"3472",2010,"Phosphate-phosphorus","0.064","mg/l"
"3474",2011,"Phosphate-phosphorus","0.066","mg/l"
"3486",2008,"Phosphate-phosphorus","0.075","mg/l"
"3498",2009,"Phosphate-phosphorus","0.468","mg/l"
"3504",1988,"Phosphate-phosphorus","0.12","mg/l"
"3521",1990,"Phosphate-phosphorus","0.070","mg/l"
"3522",1990,"Phosphate-phosphorus","0.123","mg/l"
"3530",1993,"Phosphate-phosphorus","0.160","mg/l"
"3545",1994,"Phosphate-phosphorus","0.280","mg/l"
"3547",1994,"Phosphate-phosphorus","0.129","mg/l"
"3554",1993,"Phosphate-phosphorus","","mg/l"
"3555",1993,"Phosphate-phosphorus","0.23","mg/l"
"3567",2001,"Phosphate-phosphorus","0.106","mg/l"
"3571",2010,"Phosphate-phosphorus","0.338","mg/l"
"3572",2008,"Phosphate-phosphorus","0.147","mg/l"
"3573",2009,"Phosphate-phosphorus","0.207","mg/l"
"3576",2009,"Phosphate-phosphorus","0.150","mg/l"
"3583",2012,"Phosphate-phosphorus","0.407","mg/l"
"3593",2013,"Phosphate-phosphorus","0.0835","mg/l"
"3630",2013,"Phosphate-phosphorus","0.0732","mg/l"
"3635",2016,"Phosphate-phosphorus","0.0807","mg/l"
"3643",2014,"Phosphate-phosphorus","0.0481","mg/l"
"3661",2016,"Phosphate-phosphorus","0.0864","mg/l"
"3666",2018,"Phosphate-phosphorus","0.0379","mg/l"
"3711",2002,"Phosphate-phosphorus","0.026","mg/l"
"3714",1998,"Phosphate-phosphorus","0.091","mg/l"
"3717",2005,"Phosphate-phosphorus","0.112","mg/l"
"3719",2003,"Phosphate-phosphorus","0.018","mg/l"
"3725",2001,"Phosphate-phosphorus","0.146","mg/l"
"3738",2003,"Phosphate-phosphorus","0.084","mg/l"
"3739",2000,"Phosphate-phosphorus","0.186","mg/l"
"3740",2005,"Phosphate-phosphorus","0.023","mg/l"
"3745",2007,"Phosphate-phosphorus","0.127","mg/l"
"3748",1995,"Phosphate-phosphorus","0.109","mg/l"
"3757",1999,"Phosphate-phosphorus","0.041","mg/l"
"3763",1996,"Phosphate-phosphorus","0.121","mg/l"
"3765",1996,"Phosphate-phosphorus","0.190","mg/l"
"3770",2005,"Phosphate-phosphorus","0.148","mg/l"
"3782",2009,"Phosphate-phosphorus","0.072","mg/l"
"3784",2015,"Phosphate-phosphorus","0.102","mg/l"
"3794",2007,"Phosphate-phosphorus","0.031","mg/l"
"3827",2009,"Phosphate-phosphorus","0.181","mg/l"
"3830",1988,"Phosphate-phosphorus","0.52","mg/l"
"3846",1989,"Phosphate-phosphorus","0.027","mg/l"
"3854",1990,"Phosphate-phosphorus","0.068","mg/l"
"3859",1990,"Phosphate-phosphorus","0.073","mg/l"
"3861",1991,"Phosphate-phosphorus","0.101","mg/l"
"3866",1991,"Phosphate-phosphorus","0.089","mg/l"
"3876",1993,"Phosphate-phosphorus","0.34","mg/l"
"3881",1993,"Phosphate-phosphorus","0.132","mg/l"
"3888",1992,"Phosphate-phosphorus","0.111","mg/l"
"3892",1994,"Phosphate-phosphorus","0.0460","mg/l"
"3895",1992,"Phosphate-phosphorus","0.079","mg/l"
"3899",1992,"Phosphate-phosphorus","0.10","mg/l"
"3906",1995,"Phosphate-phosphorus","0.041","mg/l"
"3911",1994,"Phosphate-phosphorus","0.150","mg/l"
"3912",1994,"Phosphate-phosphorus","0.144","mg/l"
"3919",2012,"Phosphate-phosphorus","0.041","mg/l"
"3922",2012,"Phosphate-phosphorus","0.069","mg/l"
"3929",2015,"Phosphate-phosphorus","0.0478","mg/l"
"3967",2015,"Phosphate-phosphorus","0.383","mg/l"
"3988",2014,"Phosphate-phosphorus","0.0351","mg/l"
"4005",2017,"Phosphate-phosphorus","0.0945","mg/l"
"4008",2017,"Phosphate-phosphorus","0.0836","mg/l"
"4015",2017,"Phosphate-phosphorus","0.0286","mg/l"
"4019",2018,"Phosphate-phosphorus","0.132","mg/l"
"4068",2000,"Phosphate-phosphorus","0.039","mg/l"
"4072",2004,"Phosphate-phosphorus","0.159","mg/l"
"4075",2002,"Phosphate-phosphorus","0.069","mg/l"
"4083",1998,"Phosphate-phosphorus","0.096","mg/l"
"4090",2002,"Phosphate-phosphorus","0.094","mg/l"
"4100",2000,"Phosphate-phosphorus","0.093","mg/l"
"4124",1996,"Phosphate-phosphorus","0.024","mg/l"
"4134",2001,"Phosphate-phosphorus","0.347","mg/l"
"4135",2005,"Phosphate-phosphorus","0.067","mg/l"
"4138",1996,"Phosphate-phosphorus","0.137","mg/l"
"4139",1996,"Phosphate-phosphorus","0.248","mg/l"
"4140",2004,"Phosphate-phosphorus","0.261","mg/l"
"4148",2009,"Phosphate-phosphorus","0.539","mg/l"
"4173",2011,"Phosphate-phosphorus","0.067","mg/l"
"4195",2014,"Phosphate-phosphorus","0.116","mg/l"
"4199",2010,"Phosphate-phosphorus","0.063","mg/l"
"4202",2009,"Phosphate-phosphorus","0.094","mg/l"
"4213",2012,"Phosphate-phosphorus","0.072","mg/l"
"4215",2014,"Phosphate-phosphorus","0.123","mg/l"
"4230",1990,"Phosphate-phosphorus","0.129","mg/l"
"4234",1994,"Phosphate-phosphorus","0.05","mg/l"
"4238",1992,"Phosphate-phosphorus","0.121","mg/l"
"4247",1994,"Phosphate-phosphorus","0.550","mg/l"
"4250",1995,"Phosphate-phosphorus","0.112","mg/l"
"4254",1993,"Phosphate-phosphorus","0.144","mg/l"
"4256",2010,"Phosphate-phosphorus","0.491","mg/l"
"4262",2012,"Phosphate-phosphorus","0.112","mg/l"
"4282",2015,"Phosphate-phosphorus","0.334","mg/l"
"4321",2019,"Phosphate-phosphorus","0.252","mg/l"
"4324",2016,"Phosphate-phosphorus","0.104","mg/l"
"4330",2016,"Phosphate-phosphorus","0.371","mg/l"
"4333",2016,"Phosphate-phosphorus","0.0259","mg/l"
"4334",2014,"Phosphate-phosphorus","0.0520","mg/l"
"4346",2017,"Phosphate-phosphorus","0.124","mg/l"
"4348",2018,"Phosphate-phosphorus","0.176","mg/l"
"4350",2019,"Phosphate-phosphorus","0.0483","mg/l"
"4352",2019,"Phosphate-phosphorus","0.528","mg/l"
"4382",2001,"Phosphate-phosphorus","0.092","mg/l"
"4385",2002,"Phosphate-phosphorus","0.075","mg/l"
"4388",2001,"Phosphate-phosphorus","0.089","mg/l"
"4391",2004,"Phosphate-phosphorus","0.050","mg/l"
"4398",1996,"Phosphate-phosphorus","0.099","mg/l"
"4408",1999,"Phosphate-phosphorus","0.127","mg/l"
"4416",2003,"Phosphate-phosphorus","0.083","mg/l"
"4419",1997,"Phosphate-phosphorus","0.283","mg/l"
"4438",1998,"Phosphate-phosphorus","0.021","mg/l"
"4457",1999,"Phosphate-phosphorus","0.140","mg/l"
"4470",2002,"Phosphate-phosphorus","0.019","mg/l"
"4475",2000,"Phosphate-phosphorus","0.080","mg/l"
"4491",2007,"Phosphate-phosphorus","0.074","mg/l"
"4496",2007,"Phosphate-phosphorus","0.071","mg/l"
"4504",2011,"Phosphate-phosphorus","0.075","mg/l"
"4516",2011,"Phosphate-phosphorus","0.072","mg/l"
"4521",2011,"Phosphate-phosphorus","0.300","mg/l"
